Time,1,2,3,4,5,6,7,8,9,10,Temp,Amplitude(mm)
07/13_11:35:32,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:32,0,0,0,0,0,0,0,0,0,0,26.5,0.003264
07/13_11:35:33,0,0,0,0,0,0,0,0,0,0,26.5,0.003264
07/13_11:35:33,0,0,0,0,0,0,0,0,0,0,26.5,0.003264
07/13_11:35:34,0,0,0,0,0,0,0,0,0,0,26.5,0.003264
07/13_11:35:34,0,0,0,0,0,0,0,0,0,0,26.5,0.003672
07/13_11:35:35,0,0,0,0,0,0,0,0,0,0,26.5,0.00408
07/13_11:35:35,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:36,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:36,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:37,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:37,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:38,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:38,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:39,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:39,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:40,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:40,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:41,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:41,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:42,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:42,0,0,0,0,0,0,0,0,0,0,26.5,0.003264
07/13_11:35:43,0,0,0,0,0,0,0,0,0,0,26.5,0.003672
07/13_11:35:43,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:44,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:44,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:45,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:45,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:46,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:46,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:47,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:47,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:48,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
